category,text
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowa dokumentacja pożaru: lokalizacja, zakres uszkodzeń, wpływ na instalacje pomocnicze, zasilanie i kable telekomunikacyjne"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe dane o statusie personelu: warunki pracy, zgoda/koercja, dostęp do konserwacji i części zamiennych."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe nazwy rosyjskich instalacji przyjmujących, ich aktualne raporty inspekcyjne IAEA/międzynarodowe oraz oceny ich zdolności do bezpiecznego przerobu/składowania"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Mapa lokalizacji pęknięć w rdzeniu z odniesieniem do kanałów prętów kontrolnych i identyfikacją newralgicznych modułów.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły dotyczące składu załogi operacyjnej, harmonogramu rotacji i zdolności do pracy w warunkach wydłużonej operacji na agregatach"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o szkoleniach i dostępnych uprawnionych podmiotach do odbioru źródeł (liczba, rozmieszczenie, gotowość operacyjna)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Opis protokołów transportu (trasy, środki transportu, eskorty, międzynarodowe konwencje bezpieczeństwa) oraz historyczne dane o incydentach podczas podobnych transferów."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły procedur kryzysowych na miejscu: plany utrzymania dostępu personelu, scenariusze długotrwałej okupacji"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja dotycząca redukcji personelu: liczba i kwalifikacje utrzymanego personelu, ich dyżury i dostępność wsparcia zewnętrznego"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe specyfikacje zakupionych „osłon balistycznych”: liczba jednostek, klasy odporności balistycznej, producent, zgodność ze skrytkami WS3 lub innymi systemami magazynowania."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Statystyki historyczne dotyczące przewozów CASTOR (liczba przewozów, incydenty w przeszłości, warunki testów) w formie tabelarycznej."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja dotycząca źródła wycieku: mechanizm, czas trwania nieszczelności, kroki zapobiegawcze zapobiegające powtórzeniu się"
